ID,GEOID,POP,UNIPOP,Block ,LAND,WATER,LAT,LON
1000000US250250001001000,250250001001000,0,0,Block 1000,5977,0,42.3724295,-71.1297009
1000000US250250001001001,250250001001001,0,0,Block 1001,424234,0,42.3673237,-71.1291966
1000000US250250001001002,250250001001002,9,0,Block 1002,13179,0,42.3637024,-71.1344763
1000000US250250001001003,250250001001003,0,0,Block 1003,16524,0,42.3639848,-71.1293815
1000000US250250001001004,250250001001004,0,0,Block 1004,14153,0,42.372188,-71.1302231
1000000US250250001001005,250250001001005,0,0,Block 1005,11404,0,42.3634802,-71.1407588
1000000US250250001001006,250250001001006,124,0,Block 1006,26509,0,42.3637239,-71.1363627
1000000US250250001001007,250250001001007,101,0,Block 1007,78065,0,42.3617817,-71.1375639
1000000US250250001001008,250250001001008,6,0,Block 1008,69900,0,42.3627599,-71.1413954
1000000US250250001001009,250250001001009,0,0,Block 1009,7382,0,42.3616798,-71.1458092
1000000US250250001001010,250250001001010,0,0,Block 1010,480,0,42.3615814,-71.1460094
1000000US250250001001011,250250001001011,0,0,Block 1011,3651,0,42.3603616,-71.1492818
1000000US250250001001012,250250001001012,0,0,Block 1012,7867,0,42.3607421,-71.1471729
1000000US250250001001013,250250001001013,0,0,Block 1013,5468,0,42.3601282,-71.1467349
1000000US250250001001014,250250001001014,0,0,Block 1014,432,0,42.3615507,-71.1455758
1000000US250250001001015,250250001001015,55,0,Block 1015,10367,0,42.3611985,-71.1451668
1000000US250250001001016,250250001001016,12,0,Block 1016,5297,0,42.3615509,-71.1438976
1000000US250250001001017,250250001001017,142,0,Block 1017,11862,0,42.3612401,-71.1434424
1000000US250250001001018,250250001001018,84,0,Block 1018,14447,0,42.3618352,-71.141769
1000000US250250001001019,250250001001019,185,0,Block 1019,19798,0,42.3615558,-71.1405185
1000000US250250001001020,250250001001020,23,0,Block 1020,5396,0,42.3612027,-71.1395828
1000000US250250001001021,250250001001021,54,0,Block 1021,5868,0,42.3606577,-71.1398867
1000000US250250001001022,250250001001022,73,0,Block 1022,9253,0,42.3610311,-71.142093
1000000US250250001001023,250250001001023,2,0,Block 1023,20218,0,42.3581599,-71.1431936
1000000US250250001001024,250250001001024,159,0,Block 1024,41069,0,42.3594426,-71.1456489
1000000US250250001001025,250250001001025,23,0,Block 1025,9280,0,42.3605798,-71.1453002
1000000US250250001001026,250250001001026,0,0,Block 1026,8883,0,42.3584269,-71.1510183
1000000US250250001001027,250250001001027,0(r45093),0,Block 1027,106605,0,42.3593291,-71.1514225
1000000US250250001001028,250250001001028,0,0,Block 1028,547,0,42.3585514,-71.1580364
1000000US250250001001029,250250001001029,0,0,Block 1029,3592,0,42.3629727,-71.1305076
1000000US250250001001030,250250001001030,0,0,Block 1030,14515,0,42.3579458,-71.1430722
1000000US250250001001031,250250001001031,0,0,Block 1031,9622,0,42.3580159,-71.1509877
1000000US250250001001032,250250001001032,0,0,Block 1032,15284,0,42.358216,-71.1511449
1000000US250250001001033,250250001001033,0,0,Block 1033,7950,0,42.3578494,-71.1510941
1000000US250250001001034,250250001001034,0,0,Block 1034,13727,0,42.3577499,-71.1427389
1000000US250250001001035,250250001001035,0,0,Block 1035,67996,0,42.3573558,-71.1442106
1000000US250250001001036,250250001001036,47,0,Block 1036,20770,0,42.3575817,-71.1500697
1000000US250250001001037,250250001001037,0,0,Block 1037,13277,0,42.3567689,-71.1466587
1000000US250250001001038,250250001001038,0,0,Block 1038,26770,0,42.3563327,-71.1475878
1000000US250250001001039,250250001001039,209,0,Block 1039,30940,0,42.356991,-71.1505864
1000000US250250001001040,250250001001040,0,0,Block 1040,3764,0,42.3582904,-71.1563382
1000000US250250001001041,250250001001041,0,0,Block 1041,9099,0,42.3587762,-71.1593716
1000000US250250001001042,250250001001042,24,0,Block 1042,53855,0,42.356056,-71.1441661
1000000US250250001001043,250250001001043,55,0,Block 1043,75759,0,42.3556758,-71.1399864
1000000US250250001001044,250250001001044,0,0,Block 1044,9403,0,42.3549985,-71.1414294
1000000US250250001001045,250250001001045,0,0,Block 1045,3422,0,42.3551574,-71.1419632
1000000US250250001001046,250250001001046,0,0,Block 1046,18722,0,42.3586142,-71.1519035
1000000US250250001001047,250250001001047,0,0,Block 1047,1290,0,42.358424,-71.1568696
1000000US250250001001048,250250001001048,0,0,Block 1048,7316,0,42.3552223,-71.1435156
1000000US250250001001049,250250001001049,0,0,Block 1049,8616,0,42.3551083,-71.1426712
1000000US250250001001050,250250001001050,35,0,Block 1050,4071,0,42.3541986,-71.1392431
1000000US250250001002000,250250001002000,255,0,Block 2000,32726,0,42.3621761,-71.1316674
1000000US250250001002001,250250001002001,257,0,Block 2001,38576,0,42.36259,-71.1338976
