http://www.citypopulation.de/php/usa-boston.php
Name	Status	State	Population
Census
2000-04-01	Population
Census
2010-04-01
Essex County CT 2011	Census Tract	Massachusetts	3,632	3,410
Essex County CT 2021.01	Census Tract	Massachusetts	...	2,063
Essex County CT 2021.02	Census Tract	Massachusetts	...	5,836
Essex County CT 2022	Census Tract	Massachusetts	6,164	5,888
Essex County CT 2031	Census Tract	Massachusetts	7,051	7,071
Essex County CT 2032	Census Tract	Massachusetts	4,676	4,557
Essex County CT 2033.01	Census Tract	Massachusetts	...	4,010
Essex County CT 2033.02	Census Tract	Massachusetts	...	4,170
Essex County CT 2041.01	Census Tract	Massachusetts	5,194	4,669
Essex County CT 2041.02	Census Tract	Massachusetts	3,958	4,935
Essex County CT 2042	Census Tract	Massachusetts	4,847	4,797
Essex County CT 2043	Census Tract	Massachusetts	3,871	3,904
Essex County CT 2044	Census Tract	Massachusetts	3,523	3,301
Essex County CT 2045	Census Tract	Massachusetts	3,007	3,132
Essex County CT 2046	Census Tract	Massachusetts	5,249	5,154
Essex County CT 2047.01	Census Tract	Massachusetts	4,979	5,782
Essex County CT 2047.02	Census Tract	Massachusetts	5,779	5,666
Essex County CT 2051	Census Tract	Massachusetts	5,378	5,352
Essex County CT 2052	Census Tract	Massachusetts	5,202	5,319
Essex County CT 2053	Census Tract	Massachusetts	4,349	4,490
Essex County CT 2054	Census Tract	Massachusetts	4,352	5,048
Essex County CT 2055	Census Tract	Massachusetts	4,826	4,606
Essex County CT 2056	Census Tract	Massachusetts	3,997	3,881
Essex County CT 2057	Census Tract	Massachusetts	4,586	4,650
Essex County CT 2058	Census Tract	Massachusetts	2,917	3,312
Essex County CT 2059	Census Tract	Massachusetts	4,089	4,350
Essex County CT 2060	Census Tract	Massachusetts	3,183	3,359
Essex County CT 2061	Census Tract	Massachusetts	3,818	3,844
Essex County CT 2062	Census Tract	Massachusetts	5,272	5,254
Essex County CT 2063	Census Tract	Massachusetts	3,655	3,773
Essex County CT 2064	Census Tract	Massachusetts	5,229	5,249
Essex County CT 2065	Census Tract	Massachusetts	3,415	3,358
Essex County CT 2066	Census Tract	Massachusetts	4,455	4,243
Essex County CT 2067	Census Tract	Massachusetts	4,289	4,080
Essex County CT 2068	Census Tract	Massachusetts	3,882	3,546
Essex County CT 2069	Census Tract	Massachusetts	3,997	3,965
Essex County CT 2070	Census Tract	Massachusetts	2,136	2,198
Essex County CT 2071	Census Tract	Massachusetts	3,320	3,513
Essex County CT 2072	Census Tract	Massachusetts	2,703	2,939
Essex County CT 2081.01	Census Tract	Massachusetts	5,280	5,124
Essex County CT 2081.02	Census Tract	Massachusetts	3,337	3,243
Essex County CT 2082	Census Tract	Massachusetts	5,504	5,262
Essex County CT 2083	Census Tract	Massachusetts	6,988	7,254
Essex County CT 2084	Census Tract	Massachusetts	4,969	5,745
Essex County CT 2091	Census Tract	Massachusetts	6,212	6,088
Essex County CT 2092	Census Tract	Massachusetts	5,330	5,508
Essex County CT 2101	Census Tract	Massachusetts	7,223	6,948
Essex County CT 2102	Census Tract	Massachusetts	5,726	5,384
Essex County CT 2103	Census Tract	Massachusetts	6,004	9,110
Essex County CT 2104	Census Tract	Massachusetts	6,577	6,823
Essex County CT 2105	Census Tract	Massachusetts	6,358	6,438
Essex County CT 2106	Census Tract	Massachusetts	4,034	4,095
Essex County CT 2107	Census Tract	Massachusetts	4,059	4,001
Essex County CT 2108	Census Tract	Massachusetts	4,091	4,569
Essex County CT 2109	Census Tract	Massachusetts	4,057	3,883
Essex County CT 2111	Census Tract	Massachusetts	3,748	3,794
Essex County CT 2112	Census Tract	Massachusetts	6,461	6,100
Essex County CT 2113	Census Tract	Massachusetts	6,832	6,967
Essex County CT 2114.01	Census Tract	Massachusetts	...	3,560
Essex County CT 2114.02	Census Tract	Massachusetts	...	6,072
Essex County CT 2121	Census Tract	Massachusetts	7,744	8,987
Essex County CT 2131	Census Tract	Massachusetts	7,921	7,961
Essex County CT 2141	Census Tract	Massachusetts	6,141	6,089
Essex County CT 2151.01	Census Tract	Massachusetts	...	4,896
Essex County CT 2151.02	Census Tract	Massachusetts	...	2,868
Essex County CT 2161	Census Tract	Massachusetts	4,440	4,875
Essex County CT 2171	Census Tract	Massachusetts	7,336	7,291
Essex County CT 2172.01	Census Tract	Massachusetts	4,417	4,218
Essex County CT 2172.02	Census Tract	Massachusetts	3,616	3,491
Essex County CT 2173	Census Tract	Massachusetts	4,773	4,504
Essex County CT 2174	Census Tract	Massachusetts	5,245	5,218
Essex County CT 2175	Census Tract	Massachusetts	6,526	6,101
Essex County CT 2176	Census Tract	Massachusetts	7,949	8,679
Essex County CT 2181	Census Tract	Massachusetts	5,228	5,136
Essex County CT 2201.01	Census Tract	Massachusetts	...	4,003
Essex County CT 2201.02	Census Tract	Massachusetts	...	2,949
Essex County CT 2211	Census Tract	Massachusetts	4,317	4,182
Essex County CT 2213	Census Tract	Massachusetts	4,710	4,532
Essex County CT 2214	Census Tract	Massachusetts	3,527	3,221
Essex County CT 2215	Census Tract	Massachusetts	3,242	2,923
Essex County CT 2216	Census Tract	Massachusetts	2,757	2,448
Essex County CT 2217	Census Tract	Massachusetts	2,979	2,840
Essex County CT 2218	Census Tract	Massachusetts	1,772	1,773
Essex County CT 2219.01	Census Tract	Massachusetts	...	3,419
Essex County CT 2219.02	Census Tract	Massachusetts	...	3,451
Essex County CT 2221	Census Tract	Massachusetts	3,267	3,504
Essex County CT 2231	Census Tract	Massachusetts	4,086	3,880
Essex County CT 2232	Census Tract	Massachusetts	3,685	3,740
Essex County CT 2233	Census Tract	Massachusetts	5,216	5,555
Essex County CT 2501	Census Tract	Massachusetts	1,818	2,329
Essex County CT 2502	Census Tract	Massachusetts	5,425	5,524
Essex County CT 2503	Census Tract	Massachusetts	1,900	2,101
Essex County CT 2504	Census Tract	Massachusetts	3,403	3,858
Essex County CT 2505	Census Tract	Massachusetts	3,514	3,810
Essex County CT 2506	Census Tract	Massachusetts	5,109	5,599
Essex County CT 2507	Census Tract	Massachusetts	4,732	4,756
Essex County CT 2508	Census Tract	Massachusetts	6,456	6,932
Essex County CT 2509	Census Tract	Massachusetts	2,052	2,193
Essex County CT 2510	Census Tract	Massachusetts	1,635	1,782
Essex County CT 2511	Census Tract	Massachusetts	2,982	2,937
Essex County CT 2512	Census Tract	Massachusetts	1,332	1,357
Essex County CT 2513	Census Tract	Massachusetts	3,590	3,721
Essex County CT 2514	Census Tract	Massachusetts	4,906	5,053
Essex County CT 2515	Census Tract	Massachusetts	5,770	6,149
Essex County CT 2516	Census Tract	Massachusetts	5,965	5,977
Essex County CT 2517	Census Tract	Massachusetts	4,413	5,145
Essex County CT 2518	Census Tract	Massachusetts	7,041	7,154
Essex County CT 2521.01	Census Tract	Massachusetts	3,398	3,509
Essex County CT 2521.02	Census Tract	Massachusetts	3,647	3,798
Essex County CT 2522.01	Census Tract	Massachusetts	3,054	3,230
Essex County CT 2522.02	Census Tract	Massachusetts	3,104	3,198
Essex County CT 2523	Census Tract	Massachusetts	5,923	6,552
Essex County CT 2524	Census Tract	Massachusetts	4,004	4,175
Essex County CT 2525.01	Census Tract	Massachusetts	3,513	3,874
Essex County CT 2525.02	Census Tract	Massachusetts	4,666	4,865
Essex County CT 2526.01	Census Tract	Massachusetts	6,167	6,621
Essex County CT 2526.02	Census Tract	Massachusetts	3,567	4,407
Essex County CT 2526.03	Census Tract	Massachusetts	2,746	3,026
Essex County CT 2531	Census Tract	Massachusetts	5,513	5,352
Essex County CT 2532.01	Census Tract	Massachusetts	2,930	2,913
Essex County CT 2532.02	Census Tract	Massachusetts	6,666	6,253
Essex County CT 2532.03	Census Tract	Massachusetts	3,610	4,160
Essex County CT 2532.04	Census Tract	Massachusetts	4,159	5,329
Essex County CT 2532.05	Census Tract	Massachusetts	4,324	4,345
Essex County CT 2541	Census Tract	Massachusetts	5,546	6,009
Essex County CT 2542	Census Tract	Massachusetts	4,166	5,018
Essex County CT 2543.01	Census Tract	Massachusetts	3,911	3,893
Essex County CT 2543.02	Census Tract	Massachusetts	4,400	4,493
Essex County CT 2544.01	Census Tract	Massachusetts	2,815	3,235
Essex County CT 2544.02	Census Tract	Massachusetts	6,576	6,713
Essex County CT 2544.03	Census Tract	Massachusetts	3,833	3,840
Essex County CT 2601	Census Tract	Massachusetts	4,007	4,789
Essex County CT 2602	Census Tract	Massachusetts	3,444	3,437
Essex County CT 2603.01	Census Tract	Massachusetts	4,811	4,466
Essex County CT 2603.02	Census Tract	Massachusetts	3,201	3,091
Essex County CT 2604.01	Census Tract	Massachusetts	3,812	3,820
Essex County CT 2604.02	Census Tract	Massachusetts	5,531	6,211
Essex County CT 2605	Census Tract	Massachusetts	3,755	3,788
Essex County CT 2606	Census Tract	Massachusetts	2,933	3,377
Essex County CT 2607	Census Tract	Massachusetts	4,438	4,498
Essex County CT 2608	Census Tract	Massachusetts	4,806	4,631
Essex County CT 2609	Census Tract	Massachusetts	4,815	5,089
Essex County CT 2610	Census Tract	Massachusetts	4,142	3,942
Essex County CT 2611.01	Census Tract	Massachusetts	4,506	4,782
Essex County CT 2611.02	Census Tract	Massachusetts	4,768	4,958
Essex County CT 2621	Census Tract	Massachusetts	6,138	6,338
Essex County CT 2631	Census Tract	Massachusetts	4,149	4,235
Essex County CT 2641	Census Tract	Massachusetts	6,038	6,459
Essex County CT 2651.01	Census Tract	Massachusetts	3,541	3,645
Essex County CT 2651.02	Census Tract	Massachusetts	3,836	4,538
Essex County CT 2661	Census Tract	Massachusetts	3,920	4,032
Essex County CT 2662	Census Tract	Massachusetts	5,492	5,194
Essex County CT 2663	Census Tract	Massachusetts	3,706	3,709
Essex County CT 2664	Census Tract	Massachusetts	3,332	3,348
