,QUADRANT,MIN_LONG,MAX_LONG,MIN_LAT,MAX_LAT,MID_LAT,MID_LONG,NUM_PROPS,NUM_CRIMES,DIST_STATION,NUM_PEOPLE,CRIME_RATE
0,0,-71.18568,-71.18183682,42.391676239999995,42.394968,42.39332211999999,-71.18375841,0,0,3.4975404210825327,0,inf
1,1,-71.18183682,-71.17799364000001,42.391676239999995,42.394968,42.39332211999999,-71.17991523,0,0,3.407076146554298,0,inf
2,2,-71.17799364000001,-71.17415046,42.391676239999995,42.394968,42.39332211999999,-71.17607205000002,0,0,3.3257430443437337,0,inf
3,3,-71.17415046,-71.17030728,42.391676239999995,42.394968,42.39332211999999,-71.17222887,0,0,3.2542258344352404,0,inf
4,4,-71.17030728,-71.1664641,42.391676239999995,42.394968,42.39332211999999,-71.16838569000001,0,0,3.1931841205515723,0,inf
5,5,-71.1664641,-71.16262092000001,42.391676239999995,42.394968,42.39332211999999,-71.16454251,0,0,3.1432282664078324,0,inf
6,6,-71.16262092000001,-71.15877774,42.391676239999995,42.394968,42.39332211999999,-71.16069933,0,0,3.1048934117379585,0,inf
7,7,-71.15877774,-71.15493456,42.391676239999995,42.394968,42.39332211999999,-71.15685615000001,0,0,3.0786137017567388,0,inf
8,8,-71.15493456,-71.15109138000001,42.391676239999995,42.394968,42.39332211999999,-71.15301297,0,0,3.0646992696703164,0,inf
9,9,-71.15109138000001,-71.1472482,42.391676239999995,42.394968,42.39332211999999,-71.14916979,0,27,3.063318619514494,0,inf
10,10,-71.1472482,-71.14340502,42.391676239999995,42.394968,42.39332211999999,-71.14532661000001,0,36,3.0744886362744595,0,inf
11,11,-71.14340502,-71.13956184,42.391676239999995,42.394968,42.39332211999999,-71.14148343,0,60,3.0980735702881472,0,inf
12,12,-71.13956184,-71.13571866000001,42.391676239999995,42.394968,42.39332211999999,-71.13764025,5,15,3.133793130063498,0,inf
13,13,-71.13571866000001,-71.13187548,42.391676239999995,42.394968,42.39332211999999,-71.13379707000001,27,0,3.181238591100814,0,inf
14,14,-71.13187548,-71.1280323,42.391676239999995,42.394968,42.39332211999999,-71.12995389,51,0,3.2398948489924067,0,inf
15,15,-71.1280323,-71.12418912,42.391676239999995,42.394968,42.39332211999999,-71.12611071,0,0,3.309165807662611,0,inf
16,16,-71.12418912,-71.12034594,42.391676239999995,42.394968,42.39332211999999,-71.12226753,0,0,3.388400525141422,0,inf
17,17,-71.12034594,-71.11650276,42.391676239999995,42.394968,42.39332211999999,-71.11842435,0,0,3.4769178805989442,0,inf
18,18,-71.11650276,-71.11265958,42.391676239999995,42.394968,42.39332211999999,-71.11458117000001,0,0,3.5395400272829414,0,inf
19,19,-71.11265958,-71.10881640000001,42.391676239999995,42.394968,42.39332211999999,-71.11073799,0,0,3.3876915752285144,12,0.0
20,20,-71.10881640000001,-71.10497322,42.391676239999995,42.394968,42.39332211999999,-71.10689481,0,0,3.2406125102612204,14,0.0
21,21,-71.10497322,-71.10113004,42.391676239999995,42.394968,42.39332211999999,-71.10305163000001,0,0,3.0989819781190016,24,0.0
22,22,-71.10113004,-71.09728686,42.391676239999995,42.394968,42.39332211999999,-71.09920844999999,0,0,2.963581244165285,0,inf
23,23,-71.09728686,-71.09344368000001,42.391676239999995,42.394968,42.39332211999999,-71.09536527,0,0,2.8353029661451985,104,0.0
24,24,-71.09344368000001,-71.0896005,42.391676239999995,42.394968,42.39332211999999,-71.09152209000001,0,0,2.715156840132172,0,inf
25,25,-71.0896005,-71.08575732,42.391676239999995,42.394968,42.39332211999999,-71.08767891,0,0,2.604268622032528,0,inf
26,26,-71.08575732,-71.08191414000001,42.391676239999995,42.394968,42.39332211999999,-71.08383573,0,0,2.503868623332216,0,inf
27,27,-71.08191414000001,-71.07807096,42.391676239999995,42.394968,42.39332211999999,-71.07999255000001,0,0,2.415265149706841,0,inf
28,28,-71.07807096,-71.07422778,42.391676239999995,42.394968,42.39332211999999,-71.07614937,0,0,2.3397987192324146,363,0.0
29,29,-71.07422778,-71.0703846,42.391676239999995,42.394968,42.39332211999999,-71.07230619,0,0,2.278774887509558,71,0.0
30,30,-71.0703846,-71.06654142000001,42.391676239999995,42.394968,42.39332211999999,-71.06846301,0,0,2.1525655915116984,0,inf
31,31,-71.06654142000001,-71.06269824,42.391676239999995,42.394968,42.39332211999999,-71.06461983,0,0,2.0199144683093184,0,inf
